Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (current US$),NY.GDP.PCAP.CD,Trinidad and Tobago,TTO,16250.6286879928,16173.7400502023,17037.8623561897,16637.1629387697,15384.0394609875
GDP per capita (current US$),NY.GDP.PCAP.CD,Tunisia,TUN,3697.93872935664,3481.24110633379,3438.80506664387,3351.57344330192,3319.81902353323
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkey,TUR,10894.6033779275,10589.667724687,9453.19617174191,9126.59439195453,8538.16905982745
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkmenistan,TKM,6387.68257527254,6587.09260439788,6967.37504258806,7612.03518009452,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Turks and Caicos Islands,TCA,28241.479293178,27545.1287854295,29553.1366979053,31350.8666282662,23879.9266491038
GDP per capita (current US$),NY.GDP.PCAP.CD,Tuvalu,TUV,3253.89953558627,3574.06528751804,3701.70925450693,4055.89560959738,4143.10975263011
GDP per capita (current US$),NY.GDP.PCAP.CD,Uganda,UGA,733.397131674337,746.830751184521,770.257060149182,794.451445432797,817.035756926923
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,2187.73050991433,2640.67567655839,3096.81740221352,3662.56308679667,3726.92714937055
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,38141.8671313451,40644.7911901772,43839.3244866903,43103.3362929869,..
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,41048.3496572292,40304.7230763678,42992.8037216089,42354.4146545765,40284.6384553276
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,58021.4004997125,60109.6557260477,63064.4184096731,65279.5290260953,63543.577788724
GDP per capita (current US$),NY.GDP.PCAP.CD,Uruguay,URY,16715.6334746253,18690.8938401411,18703.8602924478,17688.01500769,15438.4116657291
GDP per capita (current US$),NY.GDP.PCAP.CD,Uzbekistan,UZB,2567.79920656883,1826.56691924216,1529.08286351335,1719.05721009222,1685.76494675082
GDP per capita (current US$),NY.GDP.PCAP.CD,Vanuatu,VUT,2805.66532016404,3082.47508309466,3125.40499918952,3102.34678986227,2782.98434037313
GDP per capita (current US$),NY.GDP.PCAP.CD,"Venezuela, RB",VEN,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Vietnam,VNM,2192.17448247545,2365.52161506114,2566.4474870063,2715.27598010995,2785.724156875
GDP per capita (current US$),NY.GDP.PCAP.CD,Virgin Islands (U.S.),VIR,36022.5454816027,36287.879494039,37233.2968850758,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,West Bank and Gaza,PSE,3527.61382413178,3620.36048715937,3562.33094270256,3656.85827137011,3239.73110812657
GDP per capita (current US$),NY.GDP.PCAP.CD,"Yemen, Rep.",YEM,1138.6037234093,960.528848015378,824.117717965627,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Zambia,ZMB,1280.80654257604,1535.19657398198,1516.37110009154,1305.00221354087,1050.91928305741
GDP per capita (current US$),NY.GDP.PCAP.CD,Zimbabwe,ZWE,1464.58895715841,1335.66506432532,1352.16265310562,1156.15486360139,1128.21071129808
GDP per capita (current US$),NY.GDP.PCAP.CD,Africa Eastern and Southern,AFE,1401.28105252106,1536.20678264071,1530.16191737441,1481.42529193585,1326.66365762056
GDP per capita (current US$),NY.GDP.PCAP.CD,Africa Western and Central,AFW,1666.42240647892,1606.97833161683,1695.95921508335,1772.33915484035,1714.42679990415
GDP per capita (current US$),NY.GDP.PCAP.CD,Arab World,ARB,6093.33100860206,6095.66342966197,6568.98405167902,6570.174197334,5802.10412863519
GDP per capita (current US$),NY.GDP.PCAP.CD,Caribbean small states,CSS,9560.1946792766,9810.47006759449,10250.434070083,10355.4076837653,9192.76780070435
GDP per capita (current US$),NY.GDP.PCAP.CD,Central Europe and the Baltics,CEB,12822.3762230609,14238.1967661396,16034.7149702111,16294.3770005943,16082.4577103005
GDP per capita (current US$),NY.GDP.PCAP.CD,Early-demographic dividend,EAR,3333.14704091421,3554.53186967857,3526.97504394987,3581.13274029158,3254.96941094267
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific,EAS,9855.72532949615,10467.8539994767,11318.8403574781,11499.6346661356,..
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (excluding high income),EAP,6609.48436617558,7172.70194415996,7968.08997474566,8194.265111576,8291.74597603781
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,6679.2515937779,7248.2296158156,8051.81254849733,8280.23469622092,8378.63093968804
GDP per capita (current US$),NY.GDP.PCAP.CD,Euro area,EMU,35137.7543598382,37045.4782623648,39997.554747509,39042.5049702801,37712.1208258145
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia,ECS,22404.8995761606,23617.2192898928,25221.7608639911,24791.4490978876,23780.3884700839
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (excluding high income),ECA,7177.77223732626,8018.71413783077,8206.59666055713,8337.8574220048,7656.59391905151
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,7665.38379691147,8553.53233570547,8868.02880999417,9002.29760099665,8368.47661646182
GDP per capita (current US$),NY.GDP.PCAP.CD,European Union,EUU,31164.5950379633,33008.5041400146,35703.6895347268,34960.0156237147,33927.7188969154
GDP per capita (current US$),NY.GDP.PCAP.CD,Fragile and conflict affected situations,FCS,1928.97859204881,1929.87723900204,2021.72579124927,2107.42382393339,1864.57941018718
GDP per capita (current US$),NY.GDP.PCAP.CD,Heavily indebted poor countries (HIPC),HPC,909.513225357312,944.463717501463,979.889988545419,984.818942762602,973.271854608424
GDP per capita (current US$),NY.GDP.PCAP.CD,High income,HIC,41013.341279697,42658.2072310042,45114.3603938187,45297.7178653611,43833.9315581079
GDP per capita (current US$),NY.GDP.PCAP.CD,IBRD only,IBD,5572.72464401241,6094.71935976363,6415.15464943783,6510.72745549546,6187.68569657553
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA & IBRD total,IBT,4505.60460189889,4889.87386393174,5127.06154120442,5192.12977669411,4929.86114055141
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA blend,IDB,1773.84423870582,1712.6509133954,1747.50659361145,1758.03592731882,1664.26013052587
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA only,IDX,1065.84567762007,1124.55757409232,1172.22822140323,1217.40814707659,1219.77562328603
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA total,IDA,1305.68149748366,1321.43216315999,1364.1094638335,1396.32034918337,1364.15783389017
GDP per capita (current US$),NY.GDP.PCAP.CD,Late-demographic dividend,LTE,8190.5352130285,9034.22637453571,9849.86121253092,9989.87341778723,9758.44827151537
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & Caribbean,LCN,8600.75738507551,9461.21134658518,9158.44096357042,8951.81151679876,7417.25216695846
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & Caribbean (excluding high income),LAC,7930.7150554872,8743.84224027993,8395.07435773172,8213.07806273801,6733.11238457868
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,8440.43240369227,9316.21821475648,9001.31013497115,8776.74823247104,7244.55556894082
GDP per capita (current US$),NY.GDP.PCAP.CD,Least developed countries: UN classification,LDC,986.924823563932,1053.96352219117,1065.29110556022,1094.89440023069,1068.79814047712
GDP per capita (current US$),NY.GDP.PCAP.CD,Low & middle income,LMY,4353.08440481396,4721.74877784668,4944.43271902466,5012.75487528986,4759.24426146187
GDP per capita (current US$),NY.GDP.PCAP.CD,Low income,LIC,785.633874138298,790.858529040066,795.953159156766,820.896182299874,821.862930833469
GDP per capita (current US$),NY.GDP.PCAP.CD,Lower middle income,LMC,2134.93610887136,2266.93530274556,2264.39293950186,2352.78369418807,2200.40175761132
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa,MEA,7257.01943303121,7403.30469004532,7546.70135262957,7511.82308848217,6669.9034298081
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (excluding high income),MNA,3919.46696282692,3801.05244953155,3501.87076686937,3507.50757458945,3066.22535513271
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (IDA & IBRD countries),TMN,3923.43600044005,3802.41480233869,3500.2621536211,3504.71474518657,3063.18956429809
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle income,MIC,4734.13097147766,5146.5042643196,5399.04043125719,5480.25080914898,5207.28902381669
GDP per capita (current US$),NY.GDP.PCAP.CD,North America,NAC,56451.5175005901,58605.3442919246,61381.7198451523,63341.7836383808,61453.1340591874
GDP per capita (current US$),NY.GDP.PCAP.CD,Not classified,INX,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,OECD members,OED,35990.2034041022,37328.3577316175,39268.5633775161,39412.0995905473,37975.9137742939
GDP per capita (current US$),NY.GDP.PCAP.CD,Other small states,OSS,12410.4521170357,13241.2007204995,14402.7510361382,13821.3399571813,11821.745902342
GDP per capita (current US$),NY.GDP.PCAP.CD,Pacific island small states,PSS,3962.4398484453,4220.73643640818,4336.98530791452,4268.83831291979,3626.29058943536
GDP per capita (current US$),NY.GDP.PCAP.CD,Post-demographic dividend,PST,41340.5037939281,42933.6135520047,45364.5841796031,45650.1402680141,44217.8972260676
GDP per capita (current US$),NY.GDP.PCAP.CD,Pre-demographic dividend,PRE,1393.57535455618,1415.71893932517,1449.09968091231,1481.0426284821,1342.48239073085
GDP per capita (current US$),NY.GDP.PCAP.CD,Small states,SST,11367.6851422575,12064.7027367962,13040.5377262797,12622.5289056253,10864.0078007799
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia,SAS,1652.19599968643,1867.50548175074,1894.16909298831,1959.34225646867,1804.91762262971
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia (IDA & IBRD),TSA,1652.19599968643,1867.50548175074,1894.16909298831,1959.34225646867,1804.91762262971
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa,SSF,1508.35279420535,1564.22415950722,1596.82525070156,1599.01596590589,1483.7695656434
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (excluding high income),SSA,1507.09602828557,1562.91396409004,1595.4964951506,1597.72750280511,1482.9095943257
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (IDA & IBRD countries),TSS,1508.35279420536,1564.22415950722,1596.82525070156,1599.01596590589,1483.7695656434
GDP per capita (current US$),NY.GDP.PCAP.CD,Upper middle income,UMC,8072.01562785564,8870.34929524304,9483.69330620773,9589.0378735037,9191.68073255036
GDP per capita (current US$),NY.GDP.PCAP.CD,World,WLD,10292.6001733419,10829.9749382103,11372.2478185663,11417.1550235316,10925.7278501486
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 09/15/2021,,,,,,,,
